geo,code,continent,country,year,city_size,population_in_cities,percentage_of_population
afg,4,ASIA,Afghanistan,1950,small,465127,5.999999742
afg,4,ASIA,Afghanistan,1950,medium,0,0
afg,4,ASIA,Afghanistan,1950,large,0,0
afg,4,ASIA,Afghanistan,1950,very large,0,0
afg,4,ASIA,Afghanistan,1955,small,587818,7.106983055962332
afg,4,ASIA,Afghanistan,1955,medium,0,0
afg,4,ASIA,Afghanistan,1955,large,0,0
afg,4,ASIA,Afghanistan,1955,very large,0,0
afg,4,ASIA,Afghanistan,1960,small,755797,8.400575438367174
afg,4,ASIA,Afghanistan,1960,medium,0,0
afg,4,ASIA,Afghanistan,1960,large,0,0
afg,4,ASIA,Afghanistan,1960,very large,0,0
afg,4,ASIA,Afghanistan,1965,small,984349.9999999999,9.886687026268143
afg,4,ASIA,Afghanistan,1965,medium,0,0
afg,4,ASIA,Afghanistan,1965,large,0,0
afg,4,ASIA,Afghanistan,1965,very large,0,0
afg,4,ASIA,Afghanistan,1970,small,1295433,11.59363803461249
afg,4,ASIA,Afghanistan,1970,medium,0,0
afg,4,ASIA,Afghanistan,1970,large,0,0
afg,4,ASIA,Afghanistan,1970,very large,0,0
afg,4,ASIA,Afghanistan,1975,small,1043168.0000000001,8.220935595126678
afg,4,ASIA,Afghanistan,1975,medium,674254,5.313620345674467
afg,4,ASIA,Afghanistan,1975,large,0,0
afg,4,ASIA,Afghanistan,1975,very large,0,0
afg,4,ASIA,Afghanistan,1980,small,1141254,8.544558829034553
afg,4,ASIA,Afghanistan,1980,medium,977824,7.320959832291393
afg,4,ASIA,Afghanistan,1980,large,0,0
afg,4,ASIA,Afghanistan,1980,very large,0,0
afg,4,ASIA,Afghanistan,1985,small,998506.9999999999,8.363963289620449
afg,4,ASIA,Afghanistan,1985,medium,0,0
afg,4,ASIA,Afghanistan,1985,large,1239961,10.386495322076922
afg,4,ASIA,Afghanistan,1985,very large,0,0
afg,4,ASIA,Afghanistan,1990,small,1044627.0000000002,8.416055640242984
afg,4,ASIA,Afghanistan,1990,medium,0,0
afg,4,ASIA,Afghanistan,1990,large,1549320,12.482123594872863
afg,4,ASIA,Afghanistan,1990,very large,0,0
afg,4,ASIA,Afghanistan,1995,small,1768876.0000000002,9.767042198678327
afg,4,ASIA,Afghanistan,1995,medium,0,0
afg,4,ASIA,Afghanistan,1995,large,1928694,10.649494756182849
afg,4,ASIA,Afghanistan,1995,very large,0,0
afg,4,ASIA,Afghanistan,2000,small,2035173.0000000002,9.793923057684866
afg,4,ASIA,Afghanistan,2000,medium,0,0
afg,4,ASIA,Afghanistan,2000,large,2401109,11.554927664191029
afg,4,ASIA,Afghanistan,2000,very large,0,0
afg,4,ASIA,Afghanistan,2005,small,2786658.0000000005,10.862353773877992
afg,4,ASIA,Afghanistan,2005,medium,0,0
afg,4,ASIA,Afghanistan,2005,large,2905178,11.324343070476289
afg,4,ASIA,Afghanistan,2005,very large,0,0
afg,4,ASIA,Afghanistan,2010,small,3547974.9999999995,12.156631418925643
afg,4,ASIA,Afghanistan,2010,medium,0,0
afg,4,ASIA,Afghanistan,2010,large,3289005,11.269307568402692
afg,4,ASIA,Afghanistan,2010,very large,0,0
afg,4,ASIA,Afghanistan,2015,small,4644027.999999999,13.494745086703066
afg,4,ASIA,Afghanistan,2015,medium,0,0
afg,4,ASIA,Afghanistan,2015,large,3723543,10.819974299116545
afg,4,ASIA,Afghanistan,2015,very large,0,0
afg,4,ASIA,Afghanistan,2020,small,4544540.999999999,11.674119377447909
afg,4,ASIA,Afghanistan,2020,medium,1138264.0000000002,2.9239982253546337
afg,4,ASIA,Afghanistan,2020,large,4221532,10.844366576012062
afg,4,ASIA,Afghanistan,2020,very large,0,0
afg,4,ASIA,Afghanistan,2025,small,4816045,11.063350574708815
afg,4,ASIA,Afghanistan,2025,medium,2011569,4.620947904809119
afg,4,ASIA,Afghanistan,2025,large,4877024,11.203430672526665
afg,4,ASIA,Afghanistan,2025,very large,0,0
afg,4,ASIA,Afghanistan,2030,small,5688400.000000003,11.827775085803564
afg,4,ASIA,Afghanistan,2030,medium,2392359,4.974383688998298
afg,4,ASIA,Afghanistan,2030,large,0,0
afg,4,ASIA,Afghanistan,2030,very large,5737138,11.929115023594836
afg,4,ASIA,Afghanistan,2035,small,6136128,11.668434358296562
afg,4,ASIA,Afghanistan,2035,medium,2325133,4.4214628157706555
afg,4,ASIA,Afghanistan,2035,large,1057573,2.0110762242258913
afg,4,ASIA,Afghanistan,2035,very large,6760500,12.855737442123747
alb,8,EUROPE,Albania,1950,small,259305,20.52821328030248
alb,8,EUROPE,Albania,1950,medium,0,0
alb,8,EUROPE,Albania,1950,large,0,0
alb,8,EUROPE,Albania,1950,very large,0,0
alb,8,EUROPE,Albania,1955,small,381458,26.863409697667095
alb,8,EUROPE,Albania,1955,medium,0,0
alb,8,EUROPE,Albania,1955,large,0,0
alb,8,EUROPE,Albania,1955,very large,0,0
alb,8,EUROPE,Albania,1960,small,502359,30.7048324329148
alb,8,EUROPE,Albania,1960,medium,0,0
alb,8,EUROPE,Albania,1960,large,0,0
alb,8,EUROPE,Albania,1960,very large,0,0
alb,8,EUROPE,Albania,1965,small,592158,31.229079594446713
alb,8,EUROPE,Albania,1965,medium,0,0
alb,8,EUROPE,Albania,1965,large,0,0
alb,8,EUROPE,Albania,1965,very large,0,0
alb,8,EUROPE,Albania,1970,small,682607,31.738770188738197
alb,8,EUROPE,Albania,1970,medium,0,0
alb,8,EUROPE,Albania,1970,large,0,0
alb,8,EUROPE,Albania,1970,very large,0,0
alb,8,EUROPE,Albania,1975,small,788758,32.70502995149131
alb,8,EUROPE,Albania,1975,medium,0,0
alb,8,EUROPE,Albania,1975,large,0,0
alb,8,EUROPE,Albania,1975,very large,0,0
alb,8,EUROPE,Albania,1980,small,905234,33.74343058496729
alb,8,EUROPE,Albania,1980,medium,0,0
